case:concept:name;concept:name;concept:flops;concept:kernel;concept:operation;timestamp:start
algorithm85;trsv_5.29e+04;5.29e+04;trsv!('L', 'N', 'N', ml3, ml4);tmp23 = (L15^-1 tmp21);2022-12-21 21:06:52.090288
algorithm85;trsv_5.29e+04;5.29e+04;trsv!('L', 'T', 'N', ml3, ml4);tmp24 = (L15^-T tmp23);2022-12-21 21:06:53.090288
algorithm76;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-21 20:51:46.090288
algorithm76;trsm_2.3e+08;2.3e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-21 20:51:47.090288
algorithm76;syrk_5.29e+07;5.29e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml3);tmp14 = (tmp12^T tmp12);2022-12-21 20:51:48.090288
algorithm76;LAPACK.potrf_4.06e+06;4.06e+06;LAPACK.potrf!('L', ml3);(L15 L15^T) = tmp14;2022-12-21 20:51:49.090288
algorithm76;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-21 20:51:50.090288
algorithm76;trsm_5.29e+07;5.29e+07;trsm!('R', 'L', 'T', 'N', 1.0, ml3, ml0);tmp70 = (tmp12 L15^-T);2022-12-21 20:51:51.090288
algorithm76;gemv_4.6e+05;4.6e+05;gemv!('T', 1.0, ml0, ml2, 0.0, ml4);tmp23 = (tmp70^T tmp68);2022-12-21 20:51:52.090288
algorithm76;trsv_5.29e+04;5.29e+04;trsv!('L', 'T', 'N', ml3, ml4);tmp24 = (L15^-T tmp23);2022-12-21 20:51:53.090288
algorithm27;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-21 19:30:06.090288
algorithm27;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-21 19:30:07.090288
algorithm27;trsm_2.3e+08;2.3e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-21 19:30:08.090288
algorithm27;syrk_5.29e+07;5.29e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml3);tmp14 = (tmp12^T tmp12);2022-12-21 19:30:09.090288
algorithm27;ml3 = qr_3.24e+07;3.24e+07;ml3 = qr!(ml3);(Q16 R17) = tmp14;2022-12-21 19:30:10.090288
algorithm27;gemv_4.6e+05;4.6e+05;gemv!('T', 1.0, ml0, ml2, 0.0, ml4);tmp21 = (tmp12^T tmp68);2022-12-21 19:30:11.090288
algorithm27;gemv_1.06e+05;1.06e+05;gemv!('T', 1.0, ml5, ml4, 0.0, ml6);tmp25 = (Q16^T tmp21);2022-12-21 19:30:12.090288
algorithm27;trsv_5.29e+04;5.29e+04;trsv!('U', 'N', 'N', ml7, ml6);tmp24 = (R17^-1 tmp25);2022-12-21 19:30:13.090288
algorithm59;transpose_1;1;transpose!(ml3, ml0);tmp56 = X^T;2022-12-21 20:23:26.090288
algorithm59;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-21 20:23:27.090288
algorithm59;trsm_2.3e+08;2.3e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-21 20:23:28.090288
algorithm59;syrk_5.29e+07;5.29e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2022-12-21 20:23:29.090288
algorithm59;ml5, ml4 = LAPACK.syev_4.06e+07;4.06e+07;ml5, ml4 = LAPACK.syev!('V', 'L', ml4);(Z18 W19 Z18^T) = tmp14;2022-12-21 20:23:30.090288
algorithm59;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-21 20:23:31.090288
algorithm59;trsv_1e+06;1e+06;trsv!('L', 'T', 'N', ml1, ml2);tmp71 = (L2^-T tmp68);2022-12-21 20:23:32.090288
algorithm59;gemv_4.6e+05;4.6e+05;gemv!('N', 1.0, ml3, ml2, 0.0, ml6);tmp21 = (tmp56 tmp71);2022-12-21 20:23:33.090288
algorithm59;gemv_1.06e+05;1.06e+05;gemv!('T', 1.0, ml4, ml6, 0.0, ml7);tmp268 = (Z18^T tmp21);2022-12-21 20:23:34.090288
algorithm59;gemv_230;230;gemv!('N', 1.0, ml4, ml7, 0.0, ml8);tmp269 = (W19^-1 tmp268);2022-12-21 20:23:35.090288
algorithm18;transpose_1;1;transpose!(ml3, ml0);tmp56 = X^T;2022-12-21 19:15:06.090288
algorithm18;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-21 19:15:07.090288
algorithm18;trsm_2.3e+08;2.3e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-21 19:15:08.090288
algorithm18;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-21 19:15:09.090288
algorithm18;syrk_5.29e+07;5.29e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2022-12-21 19:15:10.090288
algorithm18;trsv_1e+06;1e+06;trsv!('L', 'T', 'N', ml1, ml2);tmp71 = (L2^-T tmp68);2022-12-21 19:15:11.090288
algorithm18;gemv_4.6e+05;4.6e+05;gemv!('N', 1.0, ml3, ml2, 0.0, ml5);tmp21 = (tmp56 tmp71);2022-12-21 19:15:12.090288
algorithm18;LAPACK.potrf_4.06e+06;4.06e+06;LAPACK.potrf!('L', ml4);(L15 L15^T) = tmp14;2022-12-21 19:15:13.090288
algorithm18;trsv_5.29e+04;5.29e+04;trsv!('L', 'N', 'N', ml4, ml5);tmp23 = (L15^-1 tmp21);2022-12-21 19:15:14.090288
algorithm18;trsv_5.29e+04;5.29e+04;trsv!('L', 'T', 'N', ml4, ml5);tmp24 = (L15^-T tmp23);2022-12-21 19:15:15.090288
algorithm49;transpose_1;1;transpose!(ml3, ml0);tmp56 = X^T;2022-12-21 20:06:46.090288
algorithm49;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-21 20:06:47.090288
algorithm49;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-21 20:06:48.090288
algorithm49;trsm_2.3e+08;2.3e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-21 20:06:49.090288
algorithm49;syrk_5.29e+07;5.29e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2022-12-21 20:06:50.090288
algorithm49;trsv_1e+06;1e+06;trsv!('L', 'T', 'N', ml1, ml2);tmp71 = (L2^-T tmp68);2022-12-21 20:06:51.090288
algorithm49;gemv_4.6e+05;4.6e+05;gemv!('N', 1.0, ml3, ml2, 0.0, ml5);tmp21 = (tmp56 tmp71);2022-12-21 20:06:52.090288
algorithm49;ml4 = qr_3.24e+07;3.24e+07;ml4 = qr!(ml4);(Q16 R17) = tmp14;2022-12-21 20:06:53.090288
algorithm49;gemv_1.06e+05;1.06e+05;gemv!('T', 1.0, ml6, ml5, 0.0, ml7);tmp25 = (Q16^T tmp21);2022-12-21 20:06:54.090288
algorithm49;trsv_5.29e+04;5.29e+04;trsv!('U', 'N', 'N', ml8, ml7);tmp24 = (R17^-1 tmp25);2022-12-21 20:06:55.090288
algorithm1;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-21 18:46:46.090288
